Dominica,2022-01-09,101
European Union,2022-01-21,2639676
Finland,2022-01-26,48479
Finland,2022-01-19,26015
Syria,2022-01-09,16376
Cape Verde,2022-01-13,2607
Peru,2022-02-13,97908
Guatemala,2022-01-25,71692
Chile,2022-02-11,60582
Africa,2022-01-19,1845375
India,2022-01-24,6793794
Iraq,2022-01-21,49105
Pakistan,2022-01-19,661267
Russia,2022-01-29,252510
Greece,2022-01-20,68751
Dominican Republic,2022-02-11,18409
Turks and Caicos Islands,2022-01-04,122
Cuba,2022-01-11,150022
South Korea,2022-01-20,352678
Macao,2022-01-08,1748
South America,2022-02-02,2833576
Pakistan,2022-02-16,1897034
Tonga,2022-01-16,111
Armenia,2022-01-09,4895
Guyana,2022-01-16,1978
Montenegro,2022-01-03,1155
British Virgin Islands,2022-01-01,11
Curacao,2022-01-21,509
Bermuda,2022-01-15,118
Laos,2022-01-05,35334
Italy,2022-02-02,452161
Austria,2022-01-28,27918
Afghanistan,2022-01-15,12023
Luxembourg,2022-02-02,2749
Turkey,2022-02-02,156661
Democratic Republic of Congo,2022-01-13,5760
Vietnam,2022-02-11,512711
Poland,2022-01-10,175221
Romania,2022-01-01,14961
Lebanon,2022-01-27,12152
Democratic Republic of Congo,2022-02-08,5476
Laos,2022-02-05,48048
Finland,2022-01-28,45037
Macao,2022-02-09,1265
Ethiopia,2022-02-20,938536
Sudan,2022-01-09,8915
Indonesia,2022-01-03,1528279
Jamaica,2022-01-09,3811
Libya,2022-01-05,9635
Curacao,2022-01-10,1660
Afghanistan,2022-01-06,17604
Nepal,2022-01-31,282557
Algeria,2022-01-05,22589
Slovenia,2022-01-16,8963
Czechia,2022-01-26,35548
Georgia,2022-02-12,3504
Botswana,2022-02-17,
Latvia,2022-01-31,5254
Georgia,2022-01-09,5731
Dominican Republic,2022-01-11,15966
Mauritania,2022-02-02,4508
Australia,2022-02-15,157389
Serbia,2022-01-04,7562
Serbia,2022-02-03,3561
Turkey,2022-02-15,146135
Cape Verde,2022-01-27,2853
Antigua and Barbuda,2022-02-04,18
Jordan,2022-02-04,14926
Georgia,2022-01-04,4656
France,2022-02-09,202986
Netherlands,2022-01-27,49126
Lithuania,2022-02-08,2033
Finland,2022-02-18,9275
Isle of Man,2022-02-02,114
Ecuador,2022-02-06,58082
Malaysia,2022-02-07,74761
Scotland,2022-01-06,15943
Greenland,2022-01-27,21
Panama,2022-02-20,12191
Bhutan,2022-01-17,4968
Taiwan,2022-02-17,269415
Central African Republic,2022-02-17,
Ecuador,2022-01-11,102934
Comoros,2022-01-16,609
Brazil,2022-01-25,1117509
Northern Ireland,2022-01-27,2888
Vanuatu,2022-01-18,736
Cape Verde,2022-01-24,2853
Ghana,2022-01-26,84487
Slovakia,2022-01-08,24942
Botswana,2022-01-26,2733
Kosovo,2022-01-10,2690
Oman,2022-01-17,11708
Liberia,2022-01-21,1580
Qatar,2022-01-14,18480
Solomon Islands,2022-02-01,992
New Zealand,2022-01-30,58432
Kyrgyzstan,2022-01-19,8917
South America,2022-01-28,2847758
World,2022-01-31,22956951
Saint Kitts and Nevis,2022-01-09,84
Oceania,2022-02-04,236843
Greece,2022-02-11,35183
Croatia,2022-01-07,12168
Tunisia,2022-01-14,17269
Africa,2022-02-19,1096585
Portugal,2022-01-09,68237
Curacao,2022-01-17,613
Libya,2022-01-04,8911
Bolivia,2022-02-12,29535
Togo,2022-02-17,
South Sudan,2022-02-01,3398
Djibouti,2022-01-29,593
Hong Kong,2022-01-19,38241
New Caledonia,2022-02-10,120
South Sudan,2022-01-01,810
Upper middle income,2022-02-16,9809773
Egypt,2022-02-05,298194
Italy,2022-01-19,627313
Ethiopia,2022-02-01,344
Cuba,2022-02-07,41320
Europe,2022-02-20,1204102
Mozambique,2022-01-08,188521
Slovakia,2022-02-08,4056
Northern Ireland,2022-01-16,6185
Iraq,2022-02-09,40689
Qatar,2022-01-02,8311
Russia,2022-01-07,112537
Malawi,2022-02-04,1722
Africa,2022-02-02,1276222
Argentina,2022-01-30,320174
Colombia,2022-01-08,244682
Ethiopia,2022-01-13,401
Morocco,2022-02-09,54247
Andorra,2022-01-08,865
Algeria,2022-02-03,16222
Nepal,2022-01-30,272533
Maldives,2022-02-13,2541
Bermuda,2022-01-20,125
France,2022-02-14,185095
Senegal,2022-01-13,4472
Liberia,2022-01-08,10161
Japan,2022-01-21,161301
New Zealand,2022-02-02,44625
Panama,2022-02-09,14505
Germany,2022-01-09,590582
Cote d'Ivoire,2022-01-15,14152
Italy,2022-01-22,576018
Italy,2022-01-18,641968
Gibraltar,2022-01-26,110
Brunei,2022-01-05,4318
Burundi,2022-01-19,59
Moldova,2022-02-14,5897
Kosovo,2022-02-07,2320
Guernsey,2022-01-14,220
North America,2022-01-06,1569649
Tajikistan,2022-01-25,31090
Jamaica,2022-02-03,2551
New Caledonia,2022-02-07,91
Dominican Republic,2022-01-29,32971
Mali,2022-02-14,
Maldives,2022-02-15,2140
Guyana,2022-02-10,1428
Malta,2022-02-17,1039
Ukraine,2022-01-04,58526
Bolivia,2022-01-22,59068
Mali,2022-02-09,
Bolivia,2022-02-02,39078
Jamaica,2022-01-08,3957
North Macedonia,2022-01-12,1615
Equatorial Guinea,2022-01-06,49
Grenada,2022-01-10,181
San Marino,2022-01-11,159
Canada,2022-01-13,369777
Norway,2022-01-18,51521
Qatar,2022-02-13,16096
Armenia,2022-01-22,9995
Egypt,2022-02-06,308380
Macao,2022-01-10,2121
Georgia,2022-01-24,5126
Timor,2022-01-02,1006
Scotland,2022-02-03,7592
Jordan,2022-01-12,35491
Fiji,2022-01-02,384
Fiji,2022-01-10,345
Slovakia,2022-02-03,5566
Guyana,2022-02-19,1253
Cape Verde,2022-01-04,968
Iceland,2022-01-13,3012
Indonesia,2022-02-11,1252137
Romania,2022-01-03,15882
Bangladesh,2022-01-28,890031
Thailand,2022-02-07,257594
New Caledonia,2022-01-30,175
Norway,2022-01-09,52547
Mongolia,2022-01-24,4070
Albania,2022-01-16,6089
Vietnam,2022-02-02,295060
Chile,2022-02-05,50256
Paraguay,2022-01-27,10936
Burundi,2022-02-03,64
Lower middle income,2022-01-20,12636763
Timor,2022-01-27,1333
Netherlands,2022-02-11,21353
Guatemala,2022-02-05,54318
Cuba,2022-02-03,54927
World,2022-01-24,28469221
Senegal,2022-01-02,459
Dominica,2022-01-29,59
Sweden,2022-02-09,47532
Norway,2022-01-03,18309
Saint Vincent and the Grenadines,2022-01-14,82
France,2022-01-20,410680
South Korea,2022-02-12,198449
Philippines,2022-01-20,710839
Scotland,2022-01-09,23367
Cambodia,2022-01-23,121275
Kenya,2022-02-01,117923
Taiwan,2022-01-27,337612
United States,2022-02-07,470127
Gibraltar,2022-01-12,81
Portugal,2022-01-11,62782
Togo,2022-01-18,4911
Libya,2022-01-25,10511
Burundi,2022-02-01,62
Brunei,2022-01-15,3230
Democratic Republic of Congo,2022-01-01,7108
Montserrat,2022-02-03,6
Anguilla,2022-01-20,29
Rwanda,2022-01-02,125475
Haiti,2022-01-07,344
Sri Lanka,2022-01-04,84046
Liechtenstein,2022-02-10,55
Low income,2022-01-23,1097131
Rwanda,2022-01-11,127901
Kiribati,2022-01-19,330
Latvia,2022-02-15,2563
Dominican Republic,2022-01-09,18015
Gambia,2022-01-15,2299
Uganda,2022-01-21,29203
Kosovo,2022-02-04,2851
North America,2022-01-15,2405344
Lower middle income,2022-01-06,13425634
Mexico,2022-02-02,681660
Yemen,2022-02-09,1930
Mali,2022-01-01,5318
Wales,2022-01-28,5944
Kuwait,2022-01-12,12609
Guyana,2022-01-19,1870
Uruguay,2022-01-18,21961
Saudi Arabia,2022-01-05,212638
Guernsey,2022-01-15,198
Moldova,2022-01-01,3748
Philippines,2022-01-31,430486
Samoa,2022-01-12,69
Slovakia,2022-02-07,4285
Trinidad and Tobago,2022-01-02,2593
Tajikistan,2022-01-31,46070
Upper middle income,2022-01-03,13396005
Papua New Guinea,2022-01-23,693
Indonesia,2022-02-10,1252137
United Arab Emirates,2022-02-17,21377
Greenland,2022-01-31,9
Panama,2022-02-07,14637
Venezuela,2022-01-21,126261
Papua New Guinea,2022-01-03,459
Greece,2022-01-29,41349
Macao,2022-01-20,2561
Gibraltar,2022-01-05,17
Poland,2022-02-07,88832
Georgia,2022-01-02,7367
Uruguay,2022-02-03,11796
Vietnam,2022-01-09,1097265
Jamaica,2022-01-28,2429
South Africa,2022-01-30,57785
Malta,2022-01-21,3764
Russia,2022-01-05,84074
Grenada,2022-01-23,125
Upper middle income,2022-01-09,11275842
Macao,2022-02-08,1023
Barbados,2022-01-03,209
Switzerland,2022-02-12,10871
Uganda,2022-01-25,32000
Iran,2022-01-06,424468
Guinea-Bissau,2022-01-02,132
Turks and Caicos Islands,2022-02-07,70
Belarus,2022-01-16,59185
Hong Kong,2022-02-14,79867
United Kingdom,2022-01-13,216703
Cambodia,2022-02-05,36325
Aruba,2022-01-03,55
Guatemala,2022-01-20,88940
Belize,2022-01-29,760
European Union,2022-01-11,3175246
Nauru,2022-01-06,0
China,2022-01-12,6604571
Benin,2022-01-28,14887
Montserrat,2022-01-07,5
Guernsey,2022-02-12,87
Grenada,2022-02-18,51
Mauritania,2022-01-23,5532
Estonia,2022-02-19,1070
Bahrain,2022-01-15,4890
El Salvador,2022-01-30,8938
Africa,2022-02-14,1236590
Sint Maarten (Dutch part),2022-01-03,15
Russia,2022-02-09,266485
Estonia,2022-02-16,1129
Libya,2022-01-14,16651
Niger,2022-01-15,6053
Hong Kong,2022-01-27,44385
Nicaragua,2022-01-19,38236
European Union,2022-01-29,1973639
Sri Lanka,2022-02-19,59474
Mozambique,2022-01-01,102990
Saint Vincent and the Grenadines,2022-01-30,130
South Africa,2022-01-16,84755
Israel,2022-01-14,67303
Libya,2022-02-06,10521
Cote d'Ivoire,2022-01-08,19882
British Virgin Islands,2022-02-01,7
Slovakia,2022-01-31,6617
Belgium,2022-01-20,83336
Kuwait,2022-01-25,13538
Pakistan,2022-01-21,629403
Bahrain,2022-02-01,2581
Malaysia,2022-02-11,133427
Cook Islands,2022-01-29,6
Ghana,2022-01-23,108548
Wales,2022-02-08,3452
Venezuela,2022-01-05,126261
Gibraltar,2022-02-07,82
Suriname,2022-01-09,369
Azerbaijan,2022-02-11,34401
Montenegro,2022-01-29,477
Ukraine,2022-02-08,59101
Wallis and Futuna,2022-01-09,7
Cuba,2022-01-05,74791
Greenland,2022-01-25,31
France,2022-01-28,268268
Egypt,2022-02-07,288769
Libya,2022-01-23,9550
Timor,2022-02-12,676
Cook Islands,2022-01-03,14
Gibraltar,2022-01-14,124
Libya,2022-02-09,9384
Maldives,2022-02-12,2801
Hong Kong,2022-02-09,58429
Sierra Leone,2022-01-31,13706
Ghana,2022-01-02,59476
World,2022-01-29,25315841
Haiti,2022-01-26,1607
Mexico,2022-01-12,488625
South America,2022-01-24,2064682
Andorra,2022-01-05,865
Bhutan,2022-01-24,29717
United Kingdom,2022-02-02,89672
Australia,2022-02-08,200160
Israel,2022-01-05,39021
Sierra Leone,2022-02-06,6243
Saudi Arabia,2022-02-03,225047
Morocco,2022-01-05,70620
Canada,2022-01-22,302170
Kuwait,2022-01-13,13444
Sint Maarten (Dutch part),2022-01-16,672
Yemen,2022-01-21,3869
Vietnam,2022-01-17,1072972
Samoa,2022-02-06,401
Australia,2022-01-27,238946
Anguilla,2022-01-15,22
Taiwan,2022-01-15,175774
Poland,2022-02-02,109672
Japan,2022-02-11,659010
Qatar,2022-02-04,24881
Ukraine,2022-01-15,78446
Upper middle income,2022-01-17,10326623
Croatia,2022-01-25,10218
Georgia,2022-01-15,8300
Saudi Arabia,2022-01-26,237155
Philippines,2022-02-17,410154
Maldives,2022-02-16,1992
Malaysia,2022-01-11,206612
England,2022-01-20,105979
Costa Rica,2022-01-20,15281
Lebanon,2022-02-10,9971
Malaysia,2022-01-25,205629
Greenland,2022-01-08,32
Nepal,2022-01-21,217412
Cayman Islands,2022-01-03,226
Croatia,2022-02-11,4104
European Union,2022-02-03,1636127
North Macedonia,2022-01-30,1128
Slovakia,2022-02-01,6266
Jersey,2022-01-12,426
Greenland,2022-01-18,51
Bhutan,2022-02-02,4203
Finland,2022-02-13,19916
Taiwan,2022-02-05,35525
Oceania,2022-02-07,258820
Netherlands,2022-02-07,28390
Eswatini,2022-02-03,1605
Trinidad and Tobago,2022-01-16,2750
Switzerland,2022-02-10,12368
Wallis and Futuna,2022-01-10,7
England,2022-02-18,48481
High income,2022-02-18,2958842
North America,2022-01-14,2509112
Belize,2022-02-18,304
Malaysia,2022-02-17,154533
Zambia,2022-01-09,19201
Azerbaijan,2022-01-27,21289
Burkina Faso,2022-01-13,7399
Europe,2022-01-15,3906217
Sweden,2022-02-05,56693
Trinidad and Tobago,2022-01-06,3054
Mexico,2022-01-25,721097
Slovenia,2022-02-15,2099
Djibouti,2022-01-25,572
Barbados,2022-01-19,258
Finland,2022-02-01,46440
Nigeria,2022-01-03,127972
Lower middle income,2022-02-15,9432391
Chile,2022-01-21,72213
Bulgaria,2022-02-10,6107
Paraguay,2022-01-31,17195
Cuba,2022-02-17,19900
Panama,2022-01-12,23401
Ethiopia,2022-01-23,900
Grenada,2022-02-08,68
Dominica,2022-01-30,74
Faeroe Islands,2022-02-10,33
Vanuatu,2022-01-16,736
Dominica,2022-01-15,40
Vietnam,2022-02-09,352956
Iran,2022-01-29,398808
Equatorial Guinea,2022-01-18,215
Egypt,2022-02-01,257447
Oceania,2022-02-11,240068
Ethiopia,2022-01-08,5787
Uganda,2022-01-01,136612
Faeroe Islands,2022-02-01,104
Myanmar,2022-01-15,182162
Ghana,2022-02-10,84487
Kyrgyzstan,2022-02-13,8795
Ukraine,2022-01-14,76615
Honduras,2022-02-04,21412
Cook Islands,2022-01-27,6
Cayman Islands,2022-02-09,25
Egypt,2022-01-18,308736
Nigeria,2022-01-10,247034
Kosovo,2022-02-02,3411
Finland,2022-01-07,43024
Tunisia,2022-01-21,22490
United States,2022-01-28,693212
North America,2022-01-10,2402178
Cyprus,2022-02-12,2432
Israel,2022-01-25,14231
England,2022-01-18,118387
Kazakhstan,2022-01-06,12742
South America,2022-01-29,2822245
Dominican Republic,2022-01-19,22008
Morocco,2022-02-13,60436
Oceania,2022-01-02,91927
Tunisia,2022-01-17,17951
Hungary,2022-01-01,10347
Albania,2022-02-16,3746
Vietnam,2022-02-06,202490
Finland,2022-02-11,23092
Italy,2022-01-05,465848
Dominican Republic,2022-01-27,22787
Tunisia,2022-02-18,7453
Aruba,2022-01-04,27
Grenada,2022-01-21,128
Aruba,2022-01-30,58
El Salvador,2022-01-05,7702
Kosovo,2022-02-12,1225
Oceania,2022-02-13,234284
Netherlands,2022-01-21,81304
United States,2022-02-09,446524
Finland,2022-01-03,38449
El Salvador,2022-01-08,11298
Pakistan,2022-02-05,1249051
Mozambique,2022-01-07,148663
Central African Republic,2022-01-02,3596
High income,2022-01-11,6684044
Zimbabwe,2022-01-09,12119
Nigeria,2022-01-23,219248
Uganda,2022-01-18,29203
Paraguay,2022-02-05,27119
Lower middle income,2022-02-17,8562286
France,2022-01-08,630685
Upper middle income,2022-01-05,11500151
Central African Republic,2022-01-08,3596
Bangladesh,2022-01-01,829757
Belgium,2022-01-27,49443
South Africa,2022-02-07,53486
United Arab Emirates,2022-01-18,29367
Dominica,2022-01-26,46
Libya,2022-01-16,12379
Switzerland,2022-02-02,21139
Serbia,2022-01-08,758
Ethiopia,2022-01-15,1166
Antigua and Barbuda,2022-02-01,30
Estonia,2022-01-24,3462
South Korea,2022-02-15,185890
Haiti,2022-01-30,2150
Uganda,2022-01-17,29203
Northern Ireland,2022-01-06,6274
Namibia,2022-02-07,846
Aruba,2022-02-18,54
Bahrain,2022-01-14,4997
Oman,2022-02-06,13590
Kuwait,2022-01-09,11895
Armenia,2022-02-03,6764
Sint Maarten (Dutch part),2022-01-13,767
Oceania,2022-02-01,254188
Belize,2022-01-22,691
Papua New Guinea,2022-01-12,577
Bulgaria,2022-01-24,11932
Mongolia,2022-02-04,706
Nauru,2022-01-11,0
England,2022-01-04,218730
Cyprus,2022-01-17,5881
Estonia,2022-01-16,4665
Cambodia,2022-01-31,65971
Albania,2022-02-02,16474
Portugal,2022-01-08,62622
Mongolia,2022-02-07,506
Northern Ireland,2022-01-07,7081
Mongolia,2022-01-03,3367
Hungary,2022-01-30,24110
Kyrgyzstan,2022-02-12,8490
Qatar,2022-01-17,18567
Wales,2022-01-01,20870
Comoros,2022-01-25,609
Suriname,2022-02-09,144
Vietnam,2022-01-10,1147290
Netherlands,2022-02-03,34714
Mongolia,2022-01-13,4298
Belgium,2022-01-04,61017
Ecuador,2022-01-22,85174
Lower middle income,2022-02-04,9830218
Senegal,2022-01-18,4472
Greenland,2022-02-01,9
Australia,2022-01-11,239447
South Sudan,2022-01-28,2872
Switzerland,2022-01-21,47638
Belize,2022-01-15,803
Georgia,2022-02-09,3966
Andorra,2022-01-09,865
Uruguay,2022-02-19,4251
Bhutan,2022-02-03,3930
Slovenia,2022-02-03,3028
Anguilla,2022-01-17,25
Albania,2022-01-28,5471
Northern Ireland,2022-01-22,4104
Liberia,2022-02-03,1580
Kenya,2022-02-07,218627
United Arab Emirates,2022-01-11,28564
Asia,2022-01-29,16360764
Greece,2022-02-17,27134
Kyrgyzstan,2022-02-18,10399
Bulgaria,2022-02-11,5829
Tanzania,2022-01-08,33124
Maldives,2022-01-17,1484
Lower middle income,2022-01-21,13443421
Costa Rica,2022-01-09,19245
Bolivia,2022-01-12,87735
Sint Maarten (Dutch part),2022-02-11,59
New Caledonia,2022-01-04,183
China,2022-02-15,5835286
United Arab Emirates,2022-02-18,20752
Bhutan,2022-02-04,3657
Spain,2022-01-08,178485
Guernsey,2022-01-04,1747
Lebanon,2022-02-09,10489
Czechia,2022-01-06,54814
Djibouti,2022-01-18,602
Tajikistan,2022-01-10,65092
Guinea,2022-01-11,6924
Egypt,2022-02-09,249547
Macao,2022-02-14,2225
Tunisia,2022-02-08,5814
England,2022-01-01,225087
Austria,2022-01-27,28838
Saudi Arabia,2022-01-06,208453
European Union,2022-01-03,2285276
Bangladesh,2022-01-08,829757
Isle of Man,2022-01-13,275
Jordan,2022-01-23,24809
El Salvador,2022-02-04,7988
Cape Verde,2022-02-06,2521
Qatar,2022-01-10,13324
Greenland,2022-01-26,26
Grenada,2022-01-22,127
Suriname,2022-01-26,165
Serbia,2022-02-10,3229
Syria,2022-01-31,2829
Czechia,2022-02-19,9034
Vietnam,2022-01-13,1111945
Portugal,2022-01-15,71424
Africa,2022-02-16,1028518
Italy,2022-02-19,158970
Ukraine,2022-01-17,76653
Thailand,2022-02-03,280988
Montserrat,2022-01-11,31
Trinidad and Tobago,2022-02-09,1597
Guatemala,2022-01-03,22141
Kyrgyzstan,2022-01-03,4597
Tunisia,2022-01-02,47796
North Macedonia,2022-01-08,1615
El Salvador,2022-01-25,10304
Fiji,2022-01-01,384
Colombia,2022-02-05,218935
Rwanda,2022-01-24,125016
Oceania,2022-01-06,167122
Malawi,2022-02-18,2617
Czechia,2022-01-30,32546
Canada,2022-02-10,137091
High income,2022-01-01,4939337
Dominica,2022-02-09,23
Sierra Leone,2022-01-14,14555
Uzbekistan,2022-01-30,3947
Moldova,2022-01-08,2926
Armenia,2022-02-04,5981
Cote d'Ivoire,2022-02-02,57941
Angola,2022-01-18,134258
Yemen,2022-01-06,1926
Germany,2022-01-08,586198
Saudi Arabia,2022-02-06,221131
Tajikistan,2022-01-12,65092
Maldives,2022-01-31,3000
Guatemala,2022-02-15,45073
Gabon,2022-01-12,3128
Barbados,2022-01-15,270
Burundi,2022-01-29,62
Europe,2022-02-06,1896291
South Africa,2022-01-26,65312
Tajikistan,2022-01-07,58244
Samoa,2022-01-19,158
Anguilla,2022-01-24,29
Slovenia,2022-02-02,2916
Belgium,2022-02-02,35442
Honduras,2022-01-10,21059
South America,2022-02-10,2211691
Maldives,2022-01-20,2234
Egypt,2022-01-01,424464
Asia,2022-02-14,17409102
Sierra Leone,2022-01-25,32362
Belgium,2022-02-16,33700
Barbados,2022-02-07,134
Panama,2022-01-16,25236
Isle of Man,2022-01-30,117
Turks and Caicos Islands,2022-02-11,0
Paraguay,2022-01-01,30476
Nepal,2022-01-18,224948
Finland,2022-01-08,36863
Laos,2022-02-09,48048
Vietnam,2022-02-08,306802
British Virgin Islands,2022-01-09,15
Jamaica,2022-01-05,2050
Tonga,2022-01-03,436
Hong Kong,2022-01-11,39814
Tunisia,2022-01-20,20541
Iran,2022-02-09,447013
Panama,2022-02-12,14149
Chile,2022-01-11,102380
United Kingdom,2022-01-02,292772
Bulgaria,2022-01-25,10745
Lebanon,2022-01-09,26216
British Virgin Islands,2022-01-13,22
French Polynesia,2022-01-20,578
Libya,2022-01-22,8899
Oman,2022-01-10,11708
San Marino,2022-01-04,183
Europe,2022-01-25,2866344
Algeria,2022-01-10,21679
Northern Ireland,2022-02-11,2230
Finland,2022-01-30,43611
Democratic Republic of Congo,2022-01-27,9072
South America,2022-02-12,2197017
Macao,2022-02-10,1530
Liberia,2022-02-02,1580
Jersey,2022-01-01,669
Cayman Islands,2022-01-01,226
Chad,2022-01-16,2544
North America,2022-02-11,1174449
Laos,2022-01-26,48048
Bermuda,2022-02-06,181
Honduras,2022-01-23,41835
Mexico,2022-01-10,444046
Gabon,2022-01-11,3128
Bahamas,2022-01-17,497
Lithuania,2022-02-10,1610
Mauritania,2022-02-04,4508
Malawi,2022-02-07,1154
Turks and Caicos Islands,2022-01-12,122
Uganda,2022-02-17,
Switzerland,2022-01-07,61111
Bahamas,2022-01-06,623
Montenegro,2022-01-23,631
Malaysia,2022-01-26,196924
Canada,2022-01-25,290515
Angola,2022-01-15,104233
Ecuador,2022-02-15,71954
Ghana,2022-01-21,156671
Oceania,2022-01-25,342687
Nigeria,2022-01-06,144461
Jamaica,2022-02-16,1970
North America,2022-02-07,1424534
Burundi,2022-02-07,69
Uganda,2022-01-06,136612
Northern Ireland,2022-01-28,2645
Antigua and Barbuda,2022-02-02,18
Qatar,2022-02-02,26507
Cook Islands,2022-01-31,6
Tajikistan,2022-02-03,44138
Sudan,2022-01-25,10873
Malta,2022-02-02,1764
Aruba,2022-01-31,54
Sweden,2022-01-05,26694
Djibouti,2022-01-01,608
Asia,2022-01-24,18745735
Jordan,2022-01-13,35491
Grenada,2022-02-03,87
Liberia,2022-02-08,1580
Saint Lucia,2022-02-10,68
Greenland,2022-01-06,20
Nepal,2022-01-03,219116
Bulgaria,2022-01-26,9681
Sweden,2022-01-25,74580
Bhutan,2022-01-12,157
Austria,2022-02-09,18404
Turkey,2022-01-07,567435
Cook Islands,2022-02-02,6
South America,2022-02-01,2703996
Honduras,2022-01-30,21412
Ethiopia,2022-02-09,65
Low income,2022-01-24,980914
Belize,2022-01-25,738
Luxembourg,2022-02-03,2606
Mauritania,2022-02-10,3761
Canada,2022-02-02,221498
